titulo,anio,genero,poster,banner,descripcion
Iron Man,2008,Acción,"https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.cinemascomics.com/wp-content/uploads/2020/05/iron-man-2008-1.jpg","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Iron Man 2,2010,Acción,"https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.hobbyconsolas.com/sites/navi.axelspringer.es/public/media/image/2019/04/iron-man-2.jpg","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
Iron Man 3,2013,Acción,"https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg","https://imagenes.20minutos.es/files/image_656_370/uploads/imagenes/2013/05/28/119914.jpg",""
Captain America: The First Avenger,2011,Acción,"https://m.media-amazon.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cdn.mos.cms.futurecdn.net/rNqRoby4d3rr9QCnigVq2B-1200-80.jpeg","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a Super-Soldier serum. But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
Captain America: Winter Soldier,2014,Acción,"https://m.media-amazon.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_UY268_CR1,0,182,268_AL_.jpg","https://www.denofgeek.com/wp-content/uploads/2019/03/cap-winter-soldier-main.jpg?fit=1200%2C675","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Captain America: Civil War,2016,Acción,"https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i2.wp.com/www.disneytouristblog.com/wp-content/uploads/2016/05/captain_america_civil_war.jpg?ssl=1","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."
21 Jump Street,2012,Comedia,"https://m.media-amazon.com/images/M/MV5BNTZjNzRjMTMtZDMzNy00Y2ZjLTg0OTAtZjVhNzYyZmJjOTljXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://www.cinemascomics.com/wp-content/uploads/2018/10/21-jump-street-spin-off.jpg","A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
Knives Out,2019,Comedia,"https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://wipy.tv/wp-content/uploads/2020/02/Secuela-de-Knives-Out-ya-está-en-desarrollo.jpg","A detective investigates the death of a patriarch of an eccentric, combative family."
Blade Runner 2049,2017,Ciencia ficción,"https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cadenaser00.epimg.net/programa/imagenes/2018/02/08/la_script/1518089290_959225_1518094071_sumario_normal.jpg","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Mad Max: Fury Road,2015,Acción,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg","https://cnet4.cbsistatic.com/img/zYj9LePB_sT2R-N0xPDzvi8_qKs=/1200x675/2015/05/13/71a6801d-4562-49e8-bfc7-d62a47b70307/mad-max-fury-road-hardy-theron.jpg","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
22 Jump Street,2014,Comedia,"https://m.media-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://sm.ign.com/t/ign_latam/screenshot/default/22-jump-street-review_5xd6.1280.jpg","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
The Amazing Spider-Man 2,2014,Acción,"https://m.media-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://i.blogs.es/0303bf/poster-the-amazing-spiderman-2/450_1000.jpg","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
La La Land,2016,Musical,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX182_CR0,0,182,268_AL_.jpg","https://occ-0-999-444.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABRxjxdaw_B09VSlCVUCH9ZflQhVlUjJXxElTEE4f_x0_jaib0el14NzHbhsbvQelV1ZHV8Th7n6pscq4nEFcDNSOx5am.jpg?r=cee","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Avengers: Age of Ultron,2015,Acción,"https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_UX182_CR0,0,182,268_AL_.jpg","https://updatemexico.com/wp-content/uploads/2020/04/avengers-age-of-ultron-banner.jpg","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
Avengers: Infinity War,2018,Acción,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX182_CR0,0,182,268_AL_.jpg","https://hipertextual.com/files/2018/05/marvel-avengers-infinity-war-poster-oficial-cover.jpg","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
